Lemma,Rank,SFI,U
blue,857,"60,409","109,88"
positive,858,"60,399","109,62"
option,859,"60,397","109,58"
box,860,"60,393","109,46"
huge,861,"60,390","109,40"
message,862,"60,389","109,37"
instance,863,"60,382","109,18"
style,864,"60,378","109,10"
refer,865,"60,374","109,00"
cold,866,"60,364","108,74"
push,867,"60,362","108,68"
quarter,868,"60,360","108,64"
assume,869,"60,342","108,18"
baby,870,"60,329","107,88"
successful,871,"60,324","107,74"
sing,872,"60,322","107,69"
doubt,873,"60,315","107,53"
competition,874,"60,315","107,53"
theory,875,"60,315","107,52"
propose,876,"60,312","107,46"
reference,877,"60,302","107,20"
argument,878,"60,302","107,19"
adult,879,"60,299","107,12"
fly,880,"60,298","107,11"
document,881,"60,292","106,94"
pattern,882,"60,287","106,83"
application,883,"60,282","106,71"
hot,884,"60,277","106,59"
obviously,885,"60,277","106,57"
unclear,886,"60,273","106,48"
bill,887,"60,266","106,33"
search,888,"60,262","106,21"
separate,889,"60,256","106,08"
central,890,"60,256","106,07"
career,891,"60,251","105,96"
anyway,892,"60,251","105,95"
speech,893,"60,244","105,78"
dog,894,"60,243","105,77"
officer,895,"60,242","105,72"
throughout,896,"60,236","105,59"
oil,897,"60,222","105,24"
dress,898,"60,211","104,98"
profit,899,"60,207","104,89"
guess,900,"60,198","104,66"
fun,901,"60,197","104,63"
protect,902,"60,197","104,63"
resource,903,"60,192","104,52"
science,904,"60,188","104,43"
disease,905,"60,186","104,37"
balance,906,"60,181","104,25"
damage,907,"60,177","104,16"
basis,908,"60,176","104,13"
author,909,"60,171","104,01"
basic,910,"60,169","103,97"
encourage,911,"60,164","103,85"
hair,912,"60,154","103,60"
male,913,"60,149","103,50"
operate,914,"60,145","103,39"
reflect,915,"60,143","103,35"
exercise,916,"60,132","103,08"
useful,917,"60,124","102,90"
restaurant,918,"60,123","102,88"
income,919,"60,122","102,86"
property,920,"60,120","102,81"
previous,921,"60,118","102,76"
dark,922,"60,113","102,64"
imagine,923,"60,105","102,45"
okay,924,"60,096","102,23"
earn,925,"60,092","102,15"
daughter,926,"60,088","102,04"
post,927,"60,080","101,86"
newspaper,928,"60,066","101,54"
define,929,"60,056","101,29"
conclusion,930,"60,055","101,26"
